Activity,Indicator Group,Life Course,Indicator,Specific Measure,Data Breakdowns,Strata,CV,Data,CI_low_95,CI_Upper_95,CV_Interpretation,CV Range Lower,CV Range Upper,Feature Data,Population 1,Unit Label Long,Data Source 1,Notes,PT Table Label,Unit Label 2,Data Source 2,Specific Measure 2,Defintion,Data Source 3,Data Available,Population 2,Estimate Calculation,Additional Remarks,Include_DT,Other DT Display
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Province/Territory — crude rates,Canada,1.8,21.8,21,22.6,3,16.6,33.3,1,"aged 18+ years, by province/territory (crude), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,Canada,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Province/Territory — crude rates,BC,4.8,22.4,20.3,24.5,3,16.6,33.3,,"aged 18+ years, by province/territory (crude), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,British Columbia (BC),%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Province/Territory — crude rates,AB,6.4,18.4,16.1,20.7,3,16.6,33.3,,"aged 18+ years, by province/territory (crude), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,Alberta (AB),%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Province/Territory — crude rates,SK,8.1,20.4,17.2,23.6,3,16.6,33.3,,"aged 18+ years, by province/territory (crude), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,Saskatchewan (SK),%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Province/Territory — crude rates,MB,7.3,20.3,17.4,23.2,3,16.6,33.3,,"aged 18+ years, by province/territory (crude), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,Manitoba (MB),%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Province/Territory — crude rates,ON,3.2,21,19.7,22.3,3,16.6,33.3,,"aged 18+ years, by province/territory (crude), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,Ontario (ON),%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Province/Territory — crude rates,QC,3.5,26,24.2,27.8,3,16.6,33.3,,"aged 18+ years, by province/territory (crude), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,Quebec (QC),%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Province/Territory — crude rates,NB,9.9,14.8,11.9,17.7,3,16.6,33.3,,"aged 18+ years, by province/territory (crude), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,New Brunswick (NB),%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Province/Territory — crude rates,NS,7.7,23.5,19.9,27,3,16.6,33.3,,"aged 18+ years, by province/territory (crude), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,Nova Scotia (NS),%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Province/Territory — crude rates,PE,14.7,15.6,11.1,20.1,3,16.6,33.3,,"aged 18+ years, by province/territory (crude), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,Prince Edward Island (PE),%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Province/Territory — crude rates,NL,14.6,11.1,7.9,14.3,3,16.6,33.3,,"aged 18+ years, by province/territory (crude), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,Newfoundland and Labrador (NL),%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Province/Territory — crude rates,YT,8.9,30,24.8,35.3,3,16.6,33.3,,"aged 18+ years, by province/territory (crude), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,Yukon (YT),%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Province/Territory — crude rates,NT,6.4,44.8,39.2,50.4,3,16.6,33.3,,"aged 18+ years, by province/territory (crude), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,Northwest Territories (NT),%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Province/Territory — crude rates,NU,10.3,55.2,44,66.4,3,16.6,33.3,,"aged 18+ years, by province/territory (crude), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,Nunavut (NU),%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Population centre/rural area,Total population,1.8,21.8,21,22.6,3,16.6,33.3,1,"aged 18+ years, by population centre/rural area, Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Population centre/rural area,Population centre,1.9,23.9,23,24.8,3,16.6,33.3,,"aged 18+ years, by population centre/rural area, Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Population centre/rural area,Rural area,5,12.3,11.1,13.5,3,16.6,33.3,,"aged 18+ years, by population centre/rural area, Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Household income adequacy,Total population,1.8,21.8,21,22.6,3,16.6,33.3,1,"aged 18+ years, by household income adequacy, Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Household income adequacy,Q1 (lowest income),3.7,35,32.4,37.6,3,16.6,33.3,,"aged 18+ years, by household income adequacy, Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Household income adequacy,Q2,4,25,23,27,3,16.6,33.3,,"aged 18+ years, by household income adequacy, Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Household income adequacy,Q3,4.4,19.3,17.7,21,3,16.6,33.3,,"aged 18+ years, by household income adequacy, Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Household income adequacy,Q4,4.3,17.8,16.3,19.3,3,16.6,33.3,,"aged 18+ years, by household income adequacy, Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Household income adequacy,Q5 (highest income),4.5,17.3,15.8,18.8,3,16.6,33.3,,"aged 18+ years, by household income adequacy, Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Highest level of education — household,Total population,1.8,21.8,21,22.6,3,16.6,33.3,1,"aged 18+ years, by highest level of education (household), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Highest level of education — household,Less than high school,8.9,21,17.3,24.6,3,16.6,33.3,,"aged 18+ years, by highest level of education (household), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Highest level of education — household,High school graduate,6.5,19.7,17.2,22.2,3,16.6,33.3,,"aged 18+ years, by highest level of education (household), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Highest level of education — household,Other post-secondary,9.4,27.3,22.3,32.4,3,16.6,33.3,,"aged 18+ years, by highest level of education (household), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
Physical Activity,Individual,Adults (18+ years),Active travel amount,Percentage (%) of adults who report walking or cycling to work or school,Highest level of education — household,Post-secondary graduate,2,21.9,21,22.7,3,16.6,33.3,,"aged 18+ years, by highest level of education (household), Canada, 2014",Percentage (%),Canadian Community Health Survey 2014,,,%,CCHS (2014),% of adults who report walking or cycling to work or school,"Active transportation is defined here as physical activity that occurs while traveling between destinations (typically by foot or bicycle), is not primarily for leisure and which lasts a minimum of 10 continuous minutes. This indicator measures the proportion of Canadians who reported walking or cycling to work or school in the last 3 months.  ","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, occupation level, ethnicity, Indigenous (Aboriginal) status, immigrant status, and time since immigration (≥ 5 year, ≥ 10 year)",Population aged 18+ years,"Numerator: Number of adults aged 18+ years who reported walking and/or cycling to work or school in the last 3 months. Denominator: Total population, aged 18+ years.",,Y,
