Obs,Domain,Indicator,Measures,Data Breakdowns,Disaggregation,nObs,Percent,CI_low_95,CI_Upper_95,CV,CV_Interpretation,Label_,Source,Notes,Population,Measure,Definition,Data Source,Data Available,Population2,Estimate Calculation,Additional Remarks
11,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Age group,75+,604,19,17,20.9,5.1,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
12,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Province,Canada,11375,34.1,33.4,34.8,1.1,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
13,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Province,BC,1344,37.6,35.5,39.8,2.9,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
14,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Province,AB,1113,36.9,34.7,39.1,3,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
15,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Province,SK,616,35.8,32.8,38.8,4.3,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
16,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Province,MB,654,32.2,29.6,34.7,4,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
17,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Province,ON,2887,33.2,31.9,34.5,2,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
18,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Province,QC,2055,33,31.5,34.4,2.2,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
19,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Province,NB,571,30.2,27.5,32.8,4.4,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
20,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Province,NS,1417,35.6,33.8,37.4,2.6,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
21,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Province,PE,258,34.3,30.1,38.5,6.2,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
22,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Province,NL,460,28.2,25.6,30.8,4.7,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
23,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Population centre/rural area,Total population,11375,34.1,33.4,34.8,1.1,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by population centre/rural area, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
24,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Population centre/rural area,Population centre,9125,34.6,33.8,35.4,1.2,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by population centre/rural area, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
25,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Population centre/rural area,Rural area,2250,31.5,29.9,33.1,2.6,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by population centre/rural area, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
26,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Highest level of education,Total population,11202,34.1,33.4,34.8,1.1,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by highest level of education, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
27,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Highest level of education,Less than secondary,1236,28.9,27.1,30.8,3.2,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by highest level of education, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
28,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Highest level of education,Completed secondary,2522,34.5,32.9,36,2.2,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by highest level of education, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
29,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Highest level of education,Some post-secondary,3652,36.4,35,37.7,1.9,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by highest level of education, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
