Indicator Parent,Indicator Breakdown,Secondary Breakdown Name,Secondary Breakdown,Location,Value
Age Group,Less than 25 years,Gender lived,CisF,"Montréal and the urban sites in the region of Montérégie, QC",12.5
Age Group,Less than 25 years,Gender lived,CisM,"Montréal and the urban sites in the region of Montérégie, QC",3.6
Age Group,Less than 25 years,Gender lived,CisF,"Québec City, QC",9.8
Age Group,Less than 25 years,Gender lived,CisM,"Québec City, QC",7.4
Age Group,Less than 25 years,Gender lived,CisF,Semi-urban sites in the province of Quebec,3
Age Group,Less than 25 years,Gender lived,CisM,Semi-urban sites in the province of Quebec,2.3
Age Group,Less than 25 years,Gender lived,CisF,New Brunswick,10
Age Group,Less than 25 years,Gender lived,CisM,New Brunswick,2.4
Age Group,25 to 39 years,None,None,Canada,44.5
Age Group,25 to 39 years,Gender lived,CisF,Canada,53.4
Age Group,25 to 39 years,Gender lived,CisM,Canada,40
Age Group,25 to 39 years,Gender lived,TFEM,Canada,45.8
Age Group,25 to 39 years,Gender lived,TMAS,Canada,41.2
Age Group,25 to 39 years,None,None,"Whitehorse, YK",57.1
Age Group,25 to 39 years,None,None,"Central and Northern Vancouver Island, BC",51.4
Age Group,25 to 39 years,None,None,"Prince Albert, SK",55.6
Age Group,25 to 39 years,None,None,"Regina, SK",38.5
Age Group,25 to 39 years,None,None,"Winnipeg, MN",44.4
Age Group,25 to 39 years,None,None,"Thunder Bay, ON",53.5
Age Group,25 to 39 years,None,None,"London, ON",42.2
Age Group,25 to 39 years,None,None,"Hamilton, ON",33.8
Age Group,25 to 39 years,None,None,"Ottawa, ON and the region of Outaouais, QC",32
Age Group,25 to 39 years,None,None,"Montréal and the urban sites in the region of Montérégie, QC",41.5
Age Group,25 to 39 years,None,None,"Québec City, QC",44.8
Age Group,25 to 39 years,None,None,Semi-urban sites in the province of Quebec,41.3
Age Group,25 to 39 years,None,None,New Brunswick,48.5
Age Group,25 to 39 years,None,None,Newfoundland,48.5
Age Group,25 to 39 years,Gender lived,CisF,"Whitehorse, YK",68
Age Group,25 to 39 years,Gender lived,CisM,"Whitehorse, YK",45.8
Age Group,25 to 39 years,Gender lived,CisF,"Central and Northern Vancouver Island, BC",58.3
Age Group,25 to 39 years,Gender lived,CisM,"Central and Northern Vancouver Island, BC",48.3
Age Group,25 to 39 years,Gender lived,CisF,"Prince Albert, SK",63.4
Age Group,25 to 39 years,Gender lived,CisM,"Prince Albert, SK",47.3
Age Group,25 to 39 years,Gender lived,TFEM,"Prince Albert, SK",50
Age Group,25 to 39 years,Gender lived,TMAS,"Prince Albert, SK",100
Age Group,25 to 39 years,Gender lived,CisF,"Regina, SK",47.4
Age Group,25 to 39 years,Gender lived,CisM,"Regina, SK",31.4
Age Group,25 to 39 years,Gender lived,TFEM,"Regina, SK",66.7
Age Group,25 to 39 years,Gender lived,TMAS,"Regina, SK",66.7
Age Group,25 to 39 years,Gender lived,CisF,"Winnipeg, MN",50
Age Group,25 to 39 years,Gender lived,CisM,"Winnipeg, MN",41.1
Age Group,25 to 39 years,Gender lived,TFEM,"Winnipeg, MN",50
Age Group,25 to 39 years,Gender lived,TMAS,"Winnipeg, MN",20
Age Group,25 to 39 years,Gender lived,CisF,"Thunder Bay, ON",61
Age Group,25 to 39 years,Gender lived,CisM,"Thunder Bay, ON",48.3
Age Group,25 to 39 years,Gender lived,CisF,"London, ON",54.8
Age Group,25 to 39 years,Gender lived,CisM,"London, ON",38.1
Age Group,25 to 39 years,Gender lived,TFEM,"London, ON",100
Age Group,25 to 39 years,Gender lived,CisF,"Hamilton, ON",39.1
Age Group,25 to 39 years,Gender lived,CisM,"Hamilton, ON",32.1
Age Group,25 to 39 years,Gender lived,TFEM,"Hamilton, ON",50
Age Group,25 to 39 years,Gender lived,CisF,"Ottawa, ON and the region of Outaouais, QC",34.8
Age Group,25 to 39 years,Gender lived,CisM,"Ottawa, ON and the region of Outaouais, QC",29.7
Age Group,25 to 39 years,Gender lived,TFEM,"Ottawa, ON and the region of Outaouais, QC",100
Age Group,25 to 39 years,Gender lived,CisF,"Montréal and the urban sites in the region of Montérégie, QC",59.4
Age Group,25 to 39 years,Gender lived,CisM,"Montréal and the urban sites in the region of Montérégie, QC",37.3
Age Group,25 to 39 years,Gender lived,CisF,"Québec City, QC",51.2
Age Group,25 to 39 years,Gender lived,CisM,"Québec City, QC",42
Age Group,25 to 39 years,Gender lived,TMAS,"Québec City, QC",100
Age Group,25 to 39 years,Gender lived,CisF,Semi-urban sites in the province of Quebec,60.6
Age Group,25 to 39 years,Gender lived,CisM,Semi-urban sites in the province of Quebec,37.1
Age Group,25 to 39 years,Gender lived,CisF,New Brunswick,61.4
Age Group,25 to 39 years,Gender lived,CisM,New Brunswick,42.1
Age Group,25 to 39 years,Gender lived,TFEM,New Brunswick,25
Age Group,40 to 54 years,None,None,Canada,37.6
Age Group,40 to 54 years,Gender lived,CisF,Canada,31.6
Age Group,40 to 54 years,Gender lived,CisM,Canada,41
Age Group,40 to 54 years,Gender lived,TFEM,Canada,33.3
Age Group,40 to 54 years,Gender lived,TMAS,Canada,23.5
Age Group,40 to 54 years,None,None,"Whitehorse, YK",30.6
Age Group,40 to 54 years,None,None,"Central and Northern Vancouver Island, BC",25.7
Age Group,40 to 54 years,None,None,"Prince Albert, SK",37.8
Age Group,40 to 54 years,None,None,"Regina, SK",45.9
Age Group,40 to 54 years,None,None,"Winnipeg, MN",33.9
Age Group,40 to 54 years,None,None,"Thunder Bay, ON",28.5
Age Group,40 to 54 years,None,None,"London, ON",39.8
Age Group,40 to 54 years,None,None,"Hamilton, ON",40.8
Age Group,40 to 54 years,None,None,"Ottawa, ON and the region of Outaouais, QC",44.5
Age Group,40 to 54 years,None,None,"Montréal and the urban sites in the region of Montérégie, QC",46.5
Age Group,40 to 54 years,None,None,"Québec City, QC",39.2
Age Group,40 to 54 years,None,None,Semi-urban sites in the province of Quebec,43.1
Age Group,40 to 54 years,None,None,New Brunswick,37.5
Age Group,40 to 54 years,None,None,Newfoundland,23.1
Age Group,40 to 54 years,Gender lived,CisF,"Whitehorse, YK",24
Age Group,40 to 54 years,Gender lived,CisM,"Whitehorse, YK",37.5
Age Group,40 to 54 years,Gender lived,CisF,"Central and Northern Vancouver Island, BC",23.3
Age Group,40 to 54 years,Gender lived,CisM,"Central and Northern Vancouver Island, BC",27.1
Age Group,40 to 54 years,Gender lived,CisF,"Prince Albert, SK",30.5
Age Group,40 to 54 years,Gender lived,CisM,"Prince Albert, SK",45.2
Age Group,40 to 54 years,Gender lived,TFEM,"Prince Albert, SK",50
Age Group,40 to 54 years,Gender lived,CisF,"Regina, SK",38.5
Age Group,40 to 54 years,Gender lived,CisM,"Regina, SK",52.9
Age Group,40 to 54 years,Gender lived,CisF,"Winnipeg, MN",31.6
Age Group,40 to 54 years,Gender lived,CisM,"Winnipeg, MN",34.7
Age Group,40 to 54 years,Gender lived,TFEM,"Winnipeg, MN",25
Age Group,40 to 54 years,Gender lived,TMAS,"Winnipeg, MN",60
Age Group,40 to 54 years,Gender lived,CisF,"Thunder Bay, ON",22
Age Group,40 to 54 years,Gender lived,CisM,"Thunder Bay, ON",33.1
Age Group,40 to 54 years,Gender lived,CisF,"London, ON",31
Age Group,40 to 54 years,Gender lived,CisM,"London, ON",42.5
Age Group,40 to 54 years,Gender lived,CisF,"Hamilton, ON",41.3
Age Group,40 to 54 years,Gender lived,CisM,"Hamilton, ON",42.5
Age Group,40 to 54 years,Gender lived,CisF,"Ottawa, ON and the region of Outaouais, QC",52.2
Age Group,40 to 54 years,Gender lived,CisM,"Ottawa, ON and the region of Outaouais, QC",41.4
Age Group,40 to 54 years,Gender lived,CisF,"Montréal and the urban sites in the region of Montérégie, QC",28.1
Age Group,40 to 54 years,Gender lived,CisM,"Montréal and the urban sites in the region of Montérégie, QC",50.6
Age Group,40 to 54 years,Gender lived,CisF,"Québec City, QC",29.3
Age Group,40 to 54 years,Gender lived,CisM,"Québec City, QC",43.2
Age Group,40 to 54 years,Gender lived,TFEM,"Québec City, QC",100
Age Group,40 to 54 years,Gender lived,CisF,Semi-urban sites in the province of Quebec,36.4
Age Group,40 to 54 years,Gender lived,CisM,Semi-urban sites in the province of Quebec,43.9
Age Group,40 to 54 years,Gender lived,TFEM,Semi-urban sites in the province of Quebec,100
Age Group,40 to 54 years,Gender lived,TMAS,Semi-urban sites in the province of Quebec,100
Age Group,40 to 54 years,Gender lived,CisF,New Brunswick,25.7
Age Group,40 to 54 years,Gender lived,CisM,New Brunswick,43.7
Age Group,40 to 54 years,Gender lived,TFEM,New Brunswick,50
Age Group,55 years or more,None,None,Canada,11.1
Age Group,55 years or more,Gender lived,CisF,Canada,6.1
Age Group,55 years or more,Gender lived,CisM,Canada,13.6
Age Group,55 years or more,Gender lived,TFEM,Canada,12.5
Age Group,55 years or more,Gender lived,TMAS,Canada,5.9
Age Group,55 years or more,None,None,"Whitehorse, YK",6.1
Age Group,55 years or more,None,None,"Central and Northern Vancouver Island, BC",10.6
Age Group,55 years or more,None,None,"Prince Albert, SK",4.4
Age Group,55 years or more,None,None,"Regina, SK",11.2
Age Group,55 years or more,None,None,"Winnipeg, MN",11.1
Age Group,55 years or more,None,None,"Thunder Bay, ON",7.5
Age Group,55 years or more,None,None,"London, ON",12.1
Age Group,55 years or more,None,None,"Hamilton, ON",22.9
Age Group,55 years or more,None,None,"Ottawa, ON and the region of Outaouais, QC",20
Age Group,55 years or more,None,None,"Montréal and the urban sites in the region of Montérégie, QC",7
Age Group,55 years or more,None,None,"Québec City, QC",8
Age Group,55 years or more,None,None,Semi-urban sites in the province of Quebec,13.2
Age Group,55 years or more,None,None,New Brunswick,9
Age Group,55 years or more,None,None,Newfoundland,8.5
Age Group,55 years or more,Gender lived,CisF,"Whitehorse, YK",8
Age Group,55 years or more,Gender lived,CisM,"Whitehorse, YK",4.2
Age Group,55 years or more,Gender lived,CisF,"Central and Northern Vancouver Island, BC",6.7
Age Group,55 years or more,Gender lived,CisM,"Central and Northern Vancouver Island, BC",12.7
Age Group,55 years or more,Gender lived,CisF,"Prince Albert, SK",2.4
Age Group,55 years or more,Gender lived,CisM,"Prince Albert, SK",6.5
Age Group,55 years or more,Gender lived,CisF,"Regina, SK",9
Age Group,55 years or more,Gender lived,CisM,"Regina, SK",13.2
Age Group,55 years or more,Gender lived,CisF,"Winnipeg, MN",1.3
Age Group,55 years or more,Gender lived,CisM,"Winnipeg, MN",20
Age Group,55 years or more,Gender lived,CisF,"Thunder Bay, ON",4.9
Age Group,55 years or more,Gender lived,CisM,"Thunder Bay, ON",9.3
Age Group,55 years or more,Gender lived,CisF,"London, ON",7.1
Age Group,55 years or more,Gender lived,CisM,"London, ON",13.8
Age Group,55 years or more,Gender lived,CisF,"Hamilton, ON",17.4
Age Group,55 years or more,Gender lived,CisM,"Hamilton, ON",23.6
Age Group,55 years or more,Gender lived,TFEM,"Hamilton, ON",50
Age Group,55 years or more,Gender lived,TMAS,"Hamilton, ON",50
Age Group,55 years or more,Gender lived,CisF,"Ottawa, ON and the region of Outaouais, QC",11.6
Age Group,55 years or more,Gender lived,CisM,"Ottawa, ON and the region of Outaouais, QC",24.2
Age Group,55 years or more,Gender lived,CisM,"Montréal and the urban sites in the region of Montérégie, QC",8.4
Age Group,55 years or more,Gender lived,CisF,"Québec City, QC",9.8
Age Group,55 years or more,Gender lived,CisM,"Québec City, QC",7.4
Age Group,55 years or more,Gender lived,CisM,Semi-urban sites in the province of Quebec,16.7
Age Group,55 years or more,Gender lived,CisF,New Brunswick,2.9
Age Group,55 years or more,Gender lived,CisM,New Brunswick,11.9
Age Group,55 years or more,Gender lived,TFEM,New Brunswick,25
Gender Identity,CisF,None,None,Canada,32.7
Gender Identity,CisF,Age group,Less than 25 years,Canada,42.9
Gender Identity,CisF,Age group,25 to 39 years,Canada,39.3
Gender Identity,CisF,Age group,40 to 54 years,Canada,27.4
Gender Identity,CisF,Age group,55 years or more,Canada,17.9
Gender Identity,CisF,None,None,"Whitehorse, YK",51
Gender Identity,CisF,None,None,"Central and Northern Vancouver Island, BC",33.5
Gender Identity,CisF,None,None,"Prince Albert, SK",45.8
Gender Identity,CisF,None,None,"Regina, SK",38
Gender Identity,CisF,None,None,"Winnipeg, MN",42
Gender Identity,CisF,None,None,"Thunder Bay, ON",41
Gender Identity,CisF,None,None,"London, ON",20.6
Gender Identity,CisF,None,None,"Hamilton, ON",29.5
Gender Identity,CisF,None,None,"Ottawa, ON and the region of Outaouais, QC",34.7
Gender Identity,CisF,None,None,"Montréal and the urban sites in the region of Montérégie, QC",16.2
Gender Identity,CisF,None,None,"Québec City, QC",32.8
Gender Identity,CisF,None,None,Semi-urban sites in the province of Quebec,19.8
Gender Identity,CisF,None,None,New Brunswick,35
Gender Identity,CisF,None,None,Newfoundland,30
Gender Identity,CisF,Age group,25 to 39 years,"Whitehorse, YK",60.7
Gender Identity,CisF,Age group,40 to 54 years,"Whitehorse, YK",40
Gender Identity,CisF,Age group,55 years or more,"Whitehorse, YK",66.7
Gender Identity,CisF,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",31.8
Gender Identity,CisF,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",38
Gender Identity,CisF,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",30.4
Gender Identity,CisF,Age group,55 years or more,"Central and Northern Vancouver Island, BC",21.1
Gender Identity,CisF,Age group,Less than 25 years,"Prince Albert, SK",75
Gender Identity,CisF,Age group,25 to 39 years,"Prince Albert, SK",52.5
Gender Identity,CisF,Age group,40 to 54 years,"Prince Albert, SK",36.8
Gender Identity,CisF,Age group,55 years or more,"Prince Albert, SK",25
Gender Identity,CisF,Age group,Less than 25 years,"Regina, SK",44.4
Gender Identity,CisF,Age group,25 to 39 years,"Regina, SK",46.8
Gender Identity,CisF,Age group,40 to 54 years,"Regina, SK",31.9
Gender Identity,CisF,Age group,55 years or more,"Regina, SK",30.4
Gender Identity,CisF,Age group,Less than 25 years,"Winnipeg, MN",68.4
Gender Identity,CisF,Age group,25 to 39 years,"Winnipeg, MN",47.5
Gender Identity,CisF,Age group,40 to 54 years,"Winnipeg, MN",39.3
Gender Identity,CisF,Age group,55 years or more,"Winnipeg, MN",5
Gender Identity,CisF,Age group,Less than 25 years,"Thunder Bay, ON",47.6
Gender Identity,CisF,Age group,25 to 39 years,"Thunder Bay, ON",46.7
Gender Identity,CisF,Age group,40 to 54 years,"Thunder Bay, ON",31.6
Gender Identity,CisF,Age group,55 years or more,"Thunder Bay, ON",26.7
Gender Identity,CisF,Age group,Less than 25 years,"London, ON",25
Gender Identity,CisF,Age group,25 to 39 years,"London, ON",26.7
Gender Identity,CisF,Age group,40 to 54 years,"London, ON",16
Gender Identity,CisF,Age group,55 years or more,"London, ON",12
Gender Identity,CisF,Age group,Less than 25 years,"Hamilton, ON",25
Gender Identity,CisF,Age group,25 to 39 years,"Hamilton, ON",34
Gender Identity,CisF,Age group,40 to 54 years,"Hamilton, ON",29.7
Gender Identity,CisF,Age group,55 years or more,"Hamilton, ON",22.9
Gender Identity,CisF,Age group,Less than 25 years,"Ottawa, ON and the region of Outaouais, QC",14.3
Gender Identity,CisF,Age group,25 to 39 years,"Ottawa, ON and the region of Outaouais, QC",37.5
Gender Identity,CisF,Age group,40 to 54 years,"Ottawa, ON and the region of Outaouais, QC",40.4
Gender Identity,CisF,Age group,55 years or more,"Ottawa, ON and the region of Outaouais, QC",20.5
Gender Identity,CisF,Age group,Less than 25 years,"Montréal and the urban sites in the region of Montérégie, QC",40
Gender Identity,CisF,Age group,25 to 39 years,"Montréal and the urban sites in the region of Montérégie, QC",23.5
Gender Identity,CisF,Age group,40 to 54 years,"Montréal and the urban sites in the region of Montérégie, QC",9.7
Gender Identity,CisF,Age group,Less than 25 years,"Québec City, QC",40
Gender Identity,CisF,Age group,25 to 39 years,"Québec City, QC",37.5
Gender Identity,CisF,Age group,40 to 54 years,"Québec City, QC",24.5
Gender Identity,CisF,Age group,55 years or more,"Québec City, QC",40
Gender Identity,CisF,Age group,Less than 25 years,Semi-urban sites in the province of Quebec,25
Gender Identity,CisF,Age group,25 to 39 years,Semi-urban sites in the province of Quebec,29
Gender Identity,CisF,Age group,40 to 54 years,Semi-urban sites in the province of Quebec,16.7
Gender Identity,CisF,Age group,Less than 25 years,New Brunswick,70
Gender Identity,CisF,Age group,25 to 39 years,New Brunswick,44.3
Gender Identity,CisF,Age group,40 to 54 years,New Brunswick,24
Gender Identity,CisF,Age group,55 years or more,New Brunswick,11.1
Gender Identity,CisF,Age group,Less than 25 years,Newfoundland,42.3
Gender Identity,CisF,Age group,25 to 39 years,Newfoundland,27
Gender Identity,CisF,Age group,40 to 54 years,Newfoundland,30
Gender Identity,CisF,Age group,55 years or more,Newfoundland,18.2
Gender Identity,CisM,None,None,Canada,65.6
Gender Identity,CisM,Age group,Less than 25 years,Canada,52.8
Gender Identity,CisM,Age group,25 to 39 years,Canada,59
Gender Identity,CisM,Age group,40 to 54 years,Canada,71.3
Gender Identity,CisM,Age group,55 years or more,Canada,80.5
Gender Identity,CisM,None,None,"Whitehorse, YK",49
Gender Identity,CisM,None,None,"Central and Northern Vancouver Island, BC",65.9
Gender Identity,CisM,None,None,"Prince Albert, SK",52
Gender Identity,CisM,None,None,"Regina, SK",59
Gender Identity,CisM,None,None,"Winnipeg, MN",53
Gender Identity,CisM,None,None,"Thunder Bay, ON",59
Gender Identity,CisM,None,None,"London, ON",78.4
Gender Identity,CisM,None,None,"Hamilton, ON",67.9
Gender Identity,CisM,None,None,"Ottawa, ON and the region of Outaouais, QC",64.3
Gender Identity,CisM,None,None,"Montréal and the urban sites in the region of Montérégie, QC",83.8
Gender Identity,CisM,None,None,"Québec City, QC",64.8
Gender Identity,CisM,None,None,Semi-urban sites in the province of Quebec,79
Gender Identity,CisM,None,None,New Brunswick,63
Gender Identity,CisM,None,None,Newfoundland,66.9
Gender Identity,CisM,Age group,Less than 25 years,"Whitehorse, YK",100
Gender Identity,CisM,Age group,25 to 39 years,"Whitehorse, YK",39.3
Gender Identity,CisM,Age group,40 to 54 years,"Whitehorse, YK",60
Gender Identity,CisM,Age group,55 years or more,"Whitehorse, YK",33.3
Gender Identity,CisM,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",63.6
Gender Identity,CisM,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",62
Gender Identity,CisM,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",69.6
Gender Identity,CisM,Age group,55 years or more,"Central and Northern Vancouver Island, BC",78.9
Gender Identity,CisM,Age group,Less than 25 years,"Prince Albert, SK",25
Gender Identity,CisM,Age group,25 to 39 years,"Prince Albert, SK",44.4
Gender Identity,CisM,Age group,40 to 54 years,"Prince Albert, SK",61.8
Gender Identity,CisM,Age group,55 years or more,"Prince Albert, SK",75
Gender Identity,CisM,Age group,Less than 25 years,"Regina, SK",33.3
Gender Identity,CisM,Age group,25 to 39 years,"Regina, SK",48.1
Gender Identity,CisM,Age group,40 to 54 years,"Regina, SK",68.1
Gender Identity,CisM,Age group,55 years or more,"Regina, SK",69.6
Gender Identity,CisM,Age group,Less than 25 years,"Winnipeg, MN",21.1
Gender Identity,CisM,Age group,25 to 39 years,"Winnipeg, MN",48.8
Gender Identity,CisM,Age group,40 to 54 years,"Winnipeg, MN",54.1
Gender Identity,CisM,Age group,55 years or more,"Winnipeg, MN",95
Gender Identity,CisM,Age group,Less than 25 years,"Thunder Bay, ON",52.4
Gender Identity,CisM,Age group,25 to 39 years,"Thunder Bay, ON",53.3
Gender Identity,CisM,Age group,40 to 54 years,"Thunder Bay, ON",68.4
Gender Identity,CisM,Age group,55 years or more,"Thunder Bay, ON",73.3
Gender Identity,CisM,Age group,Less than 25 years,"London, ON",75
Gender Identity,CisM,Age group,25 to 39 years,"London, ON",70.9
Gender Identity,CisM,Age group,40 to 54 years,"London, ON",84
Gender Identity,CisM,Age group,55 years or more,"London, ON",88
Gender Identity,CisM,Age group,Less than 25 years,"Hamilton, ON",50
Gender Identity,CisM,Age group,25 to 39 years,"Hamilton, ON",64.2
Gender Identity,CisM,Age group,40 to 54 years,"Hamilton, ON",70.3
Gender Identity,CisM,Age group,55 years or more,"Hamilton, ON",71.4
Gender Identity,CisM,Age group,Less than 25 years,"Ottawa, ON and the region of Outaouais, QC",85.7
Gender Identity,CisM,Age group,25 to 39 years,"Ottawa, ON and the region of Outaouais, QC",59.4
Gender Identity,CisM,Age group,40 to 54 years,"Ottawa, ON and the region of Outaouais, QC",59.6
Gender Identity,CisM,Age group,55 years or more,"Ottawa, ON and the region of Outaouais, QC",79.5
Gender Identity,CisM,Age group,Less than 25 years,"Montréal and the urban sites in the region of Montérégie, QC",60
Gender Identity,CisM,Age group,25 to 39 years,"Montréal and the urban sites in the region of Montérégie, QC",76.5
Gender Identity,CisM,Age group,40 to 54 years,"Montréal and the urban sites in the region of Montérégie, QC",90.3
Gender Identity,CisM,Age group,55 years or more,"Montréal and the urban sites in the region of Montérégie, QC",100
Gender Identity,CisM,Age group,Less than 25 years,"Québec City, QC",60
Gender Identity,CisM,Age group,25 to 39 years,"Québec City, QC",60.7
Gender Identity,CisM,Age group,40 to 54 years,"Québec City, QC",71.4
Gender Identity,CisM,Age group,55 years or more,"Québec City, QC",60
Gender Identity,CisM,Age group,Less than 25 years,Semi-urban sites in the province of Quebec,75
Gender Identity,CisM,Age group,25 to 39 years,Semi-urban sites in the province of Quebec,71
Gender Identity,CisM,Age group,40 to 54 years,Semi-urban sites in the province of Quebec,80.6
Gender Identity,CisM,Age group,55 years or more,Semi-urban sites in the province of Quebec,100
Gender Identity,CisM,Age group,Less than 25 years,New Brunswick,30
Gender Identity,CisM,Age group,25 to 39 years,New Brunswick,54.6
Gender Identity,CisM,Age group,40 to 54 years,New Brunswick,73.3
Gender Identity,CisM,Age group,55 years or more,New Brunswick,83.3
Gender Identity,CisM,Age group,Less than 25 years,Newfoundland,53.8
Gender Identity,CisM,Age group,25 to 39 years,Newfoundland,71.4
Gender Identity,CisM,Age group,40 to 54 years,Newfoundland,66.7
Gender Identity,CisM,Age group,55 years or more,Newfoundland,72.7
Gender Identity,TFEM,None,None,Canada,1
Gender Identity,TFEM,Age group,Less than 25 years,Canada,1.2
Gender Identity,TFEM,Age group,25 to 39 years,Canada,1
Gender Identity,TFEM,Age group,40 to 54 years,Canada,0.9
Gender Identity,TFEM,Age group,55 years or more,Canada,1.1
Gender Identity,TFEM,None,None,"Prince Albert, SK",1.1
Gender Identity,TFEM,None,None,"Regina, SK",1.5
Gender Identity,TFEM,None,None,"Winnipeg, MN",2.2
Gender Identity,TFEM,None,None,"London, ON",1
Gender Identity,TFEM,None,None,"Hamilton, ON",1.3
Gender Identity,TFEM,None,None,"Ottawa, ON and the region of Outaouais, QC",1
Gender Identity,TFEM,None,None,"Québec City, QC",1.6
Gender Identity,TFEM,None,None,Semi-urban sites in the province of Quebec,0.6
Gender Identity,TFEM,None,None,New Brunswick,2
Gender Identity,TFEM,None,None,Newfoundland,1.5
Gender Identity,TFEM,Age group,25 to 39 years,"Prince Albert, SK",1
Gender Identity,TFEM,Age group,40 to 54 years,"Prince Albert, SK",1.5
Gender Identity,TFEM,Age group,Less than 25 years,"Regina, SK",11.1
Gender Identity,TFEM,Age group,25 to 39 years,"Regina, SK",2.5
Gender Identity,TFEM,Age group,Less than 25 years,"Winnipeg, MN",5.3
Gender Identity,TFEM,Age group,25 to 39 years,"Winnipeg, MN",2.5
Gender Identity,TFEM,Age group,40 to 54 years,"Winnipeg, MN",1.6
Gender Identity,TFEM,Age group,25 to 39 years,"London, ON",2.3
Gender Identity,TFEM,Age group,25 to 39 years,"Hamilton, ON",1.9
Gender Identity,TFEM,Age group,55 years or more,"Hamilton, ON",2.9
Gender Identity,TFEM,Age group,25 to 39 years,"Ottawa, ON and the region of Outaouais, QC",3.1
Gender Identity,TFEM,Age group,40 to 54 years,"Québec City, QC",4.1
Gender Identity,TFEM,Age group,40 to 54 years,Semi-urban sites in the province of Quebec,1.4
Gender Identity,TFEM,Age group,25 to 39 years,New Brunswick,1
Gender Identity,TFEM,Age group,40 to 54 years,New Brunswick,2.7
Gender Identity,TFEM,Age group,55 years or more,New Brunswick,5.6
Gender Identity,TFEM,Age group,40 to 54 years,Newfoundland,3.3
Gender Identity,TFEM,Age group,55 years or more,Newfoundland,9.1
Gender Identity,TMAS,None,None,Canada,0.7
Gender Identity,TMAS,Age group,Less than 25 years,Canada,3.1
Gender Identity,TMAS,Age group,25 to 39 years,Canada,0.7
Gender Identity,TMAS,Age group,40 to 54 years,Canada,0.4
Gender Identity,TMAS,Age group,55 years or more,Canada,0.4
