Activity,Indicator Group,Life Course,Indicator,Specific Measure 1,Data Breakdowns,Disaggregation,nObs,CV_1,StError,Data,CI_low_95,CI_Upper_95,CV_Interpretation,CV Range 1,CV Range 2,Display Data,Population 1,Unit Label 1,Data Source 1,Notes,PT Table Label,Unit Label 2,Data Source 2,Specific Measure 2,Defintion,Data Source 3,Data Available,Population 2,Estimate Calculation,Additional Remarks,Include_DT,Other DT Display,2019 Updates (Y)
Physical Activity,Individual,Adults (18+ years),Leisure time physical activity amount,"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes",Immigrant status,Total population,29007135.58,1.6,0.027119391,1.7,1.7,1.8,3,15.0,35.0,1,"aged 18+ years, by immigrant status, Canada, 2018",Hours,Canadian Community Health Survey 2018,Estimates for this indicator exclude the territories.,,hours,CCHS (2018),"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes","In addition to occupational, household and active transportation physical activity, leisure time is a core source of physical activity. This indicator measures the number of hours of leisure moderate-to-vigorous intensity physical activity obtained by participants in the 7 days before the interview. Leisure time physical activities include: sports, fitness or recreational physical activities that are organized or non-organized. This is assessed through self-report.","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, ethnicity, Indigenous (Aboriginal) status, immigrant status,  and trend (age-standardized)",Population aged 18+ years,"Statistics Canada derived variable PAADVREC was used to calculate this indicator for adults aged 18+ years. PAADVREC provides the total number of minutes, in the 7 days before the interview, that survey participants reported spending doing sports, fitness or recreational physical activities, that are organized or non-organized, that caused the participant to sweat at least a little and breathe harder.",,Y,,Y
Physical Activity,Individual,Adults (18+ years),Leisure time physical activity amount,"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes",Immigrant status,Non-immigrant,20619791.89,1.7,0.0320432,1.9,1.8,1.9,3,15.0,35.0,,"aged 18+ years, by immigrant status, Canada, 2018",Hours,Canadian Community Health Survey 2018,Estimates for this indicator exclude the territories.,,hours,CCHS (2018),"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes","In addition to occupational, household and active transportation physical activity, leisure time is a core source of physical activity. This indicator measures the number of hours of leisure moderate-to-vigorous intensity physical activity obtained by participants in the 7 days before the interview. Leisure time physical activities include: sports, fitness or recreational physical activities that are organized or non-organized. This is assessed through self-report.","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, ethnicity, Indigenous (Aboriginal) status, immigrant status,  and trend (age-standardized)",Population aged 18+ years,"Statistics Canada derived variable PAADVREC was used to calculate this indicator for adults aged 18+ years. PAADVREC provides the total number of minutes, in the 7 days before the interview, that survey participants reported spending doing sports, fitness or recreational physical activities, that are organized or non-organized, that caused the participant to sweat at least a little and breathe harder.",,Y,,Y
Physical Activity,Individual,Adults (18+ years),Leisure time physical activity amount,"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes",Immigrant status,5 years or less,1099423.14,9.8,0.113633154,1.2,0.9,1.4,3,15.0,35.0,,"aged 18+ years, by immigrant status, Canada, 2018",Hours,Canadian Community Health Survey 2018,Estimates for this indicator exclude the territories.,,hours,CCHS (2018),"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes","In addition to occupational, household and active transportation physical activity, leisure time is a core source of physical activity. This indicator measures the number of hours of leisure moderate-to-vigorous intensity physical activity obtained by participants in the 7 days before the interview. Leisure time physical activities include: sports, fitness or recreational physical activities that are organized or non-organized. This is assessed through self-report.","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, ethnicity, Indigenous (Aboriginal) status, immigrant status,  and trend (age-standardized)",Population aged 18+ years,"Statistics Canada derived variable PAADVREC was used to calculate this indicator for adults aged 18+ years. PAADVREC provides the total number of minutes, in the 7 days before the interview, that survey participants reported spending doing sports, fitness or recreational physical activities, that are organized or non-organized, that caused the participant to sweat at least a little and breathe harder.",,Y,,Y
Physical Activity,Individual,Adults (18+ years),Leisure time physical activity amount,"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes",Immigrant status,6 to 10 years,1044024.4,12.7,0.167307224,1.3,1,1.6,3,15.0,35.0,,"aged 18+ years, by immigrant status, Canada, 2018",Hours,Canadian Community Health Survey 2018,Estimates for this indicator exclude the territories.,,hours,CCHS (2018),"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes","In addition to occupational, household and active transportation physical activity, leisure time is a core source of physical activity. This indicator measures the number of hours of leisure moderate-to-vigorous intensity physical activity obtained by participants in the 7 days before the interview. Leisure time physical activities include: sports, fitness or recreational physical activities that are organized or non-organized. This is assessed through self-report.","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, ethnicity, Indigenous (Aboriginal) status, immigrant status,  and trend (age-standardized)",Population aged 18+ years,"Statistics Canada derived variable PAADVREC was used to calculate this indicator for adults aged 18+ years. PAADVREC provides the total number of minutes, in the 7 days before the interview, that survey participants reported spending doing sports, fitness or recreational physical activities, that are organized or non-organized, that caused the participant to sweat at least a little and breathe harder.",,Y,,Y
Physical Activity,Individual,Adults (18+ years),Leisure time physical activity amount,"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes",Immigrant status,Greater than 10 years,4917983.95,4.7,0.066260835,1.4,1.3,1.5,3,15.0,35.0,,"aged 18+ years, by immigrant status, Canada, 2018",Hours,Canadian Community Health Survey 2018,Estimates for this indicator exclude the territories.,,hours,CCHS (2018),"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes","In addition to occupational, household and active transportation physical activity, leisure time is a core source of physical activity. This indicator measures the number of hours of leisure moderate-to-vigorous intensity physical activity obtained by participants in the 7 days before the interview. Leisure time physical activities include: sports, fitness or recreational physical activities that are organized or non-organized. This is assessed through self-report.","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, ethnicity, Indigenous (Aboriginal) status, immigrant status,  and trend (age-standardized)",Population aged 18+ years,"Statistics Canada derived variable PAADVREC was used to calculate this indicator for adults aged 18+ years. PAADVREC provides the total number of minutes, in the 7 days before the interview, that survey participants reported spending doing sports, fitness or recreational physical activities, that are organized or non-organized, that caused the participant to sweat at least a little and breathe harder.",,Y,,Y
Physical Activity,Individual,Adults (18+ years),Leisure time physical activity amount,"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes",Trend — age-standardized rates,2015,27977924,,0.00103049,1.8,1.8,1.9,3,15.0,35.0,,"aged 18+, by year (ASR), Canada, 2015 to 2018",Hours,Canadian Community Health Survey 2015 to 2018,Estimates for this indicator exclude the territories. Rates are age-standardized to the 2011 Canadian population.,,hours,CCHS (2018),"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes","In addition to occupational, household and active transportation physical activity, leisure time is a core source of physical activity. This indicator measures the number of hours of leisure moderate-to-vigorous intensity physical activity obtained by participants in the 7 days before the interview. Leisure time physical activities include: sports, fitness or recreational physical activities that are organized or non-organized. This is assessed through self-report.","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, ethnicity, Indigenous (Aboriginal) status, immigrant status,  and trend (age-standardized)",Population aged 18+ years,"Statistics Canada derived variable PAADVREC was used to calculate this indicator for adults aged 18+ years. PAADVREC provides the total number of minutes, in the 7 days before the interview, that survey participants reported spending doing sports, fitness or recreational physical activities, that are organized or non-organized, that caused the participant to sweat at least a little and breathe harder.",,Y,,Y
Physical Activity,Individual,Adults (18+ years),Leisure time physical activity amount,"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes",Trend — age-standardized rates,2016,28336092,,0.001006134,1.9,1.8,2,3,15.0,35.0,,"aged 18+, by year (ASR), Canada, 2015 to 2018",Hours,Canadian Community Health Survey 2015 to 2018,Estimates for this indicator exclude the territories. Rates are age-standardized to the 2011 Canadian population.,,hours,CCHS (2018),"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes","In addition to occupational, household and active transportation physical activity, leisure time is a core source of physical activity. This indicator measures the number of hours of leisure moderate-to-vigorous intensity physical activity obtained by participants in the 7 days before the interview. Leisure time physical activities include: sports, fitness or recreational physical activities that are organized or non-organized. This is assessed through self-report.","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, ethnicity, Indigenous (Aboriginal) status, immigrant status,  and trend (age-standardized)",Population aged 18+ years,"Statistics Canada derived variable PAADVREC was used to calculate this indicator for adults aged 18+ years. PAADVREC provides the total number of minutes, in the 7 days before the interview, that survey participants reported spending doing sports, fitness or recreational physical activities, that are organized or non-organized, that caused the participant to sweat at least a little and breathe harder.",,Y,,Y
Physical Activity,Individual,Adults (18+ years),Leisure time physical activity amount,"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes",Trend — age-standardized rates,2017,28627031,,0.000731665,1.8,1.8,1.9,3,15.0,35.0,,"aged 18+, by year (ASR), Canada, 2015 to 2018",Hours,Canadian Community Health Survey 2015 to 2018,Estimates for this indicator exclude the territories. Rates are age-standardized to the 2011 Canadian population.,,hours,CCHS (2018),"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes","In addition to occupational, household and active transportation physical activity, leisure time is a core source of physical activity. This indicator measures the number of hours of leisure moderate-to-vigorous intensity physical activity obtained by participants in the 7 days before the interview. Leisure time physical activities include: sports, fitness or recreational physical activities that are organized or non-organized. This is assessed through self-report.","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, ethnicity, Indigenous (Aboriginal) status, immigrant status,  and trend (age-standardized)",Population aged 18+ years,"Statistics Canada derived variable PAADVREC was used to calculate this indicator for adults aged 18+ years. PAADVREC provides the total number of minutes, in the 7 days before the interview, that survey participants reported spending doing sports, fitness or recreational physical activities, that are organized or non-organized, that caused the participant to sweat at least a little and breathe harder.",,Y,,Y
Physical Activity,Individual,Adults (18+ years),Leisure time physical activity amount,"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes",Trend — age-standardized rates,2018,29007136,,0.000709677,1.7,1.7,1.8,3,15.0,35.0,,"aged 18+, by year (ASR), Canada, 2015 to 2018",Hours,Canadian Community Health Survey 2015 to 2018,Estimates for this indicator exclude the territories. Rates are age-standardized to the 2011 Canadian population.,,hours,CCHS (2018),"Average number of hours per week adults report doing sports, fitness or recreational physical activities, organized or non-organized, that lasted a minimum of 10 continuous minutes","In addition to occupational, household and active transportation physical activity, leisure time is a core source of physical activity. This indicator measures the number of hours of leisure moderate-to-vigorous intensity physical activity obtained by participants in the 7 days before the interview. Leisure time physical activities include: sports, fitness or recreational physical activities that are organized or non-organized. This is assessed through self-report.","Canadian Community Health Survey (CCHS), Statistics Canada","Sex, age group (5 year, life course), province/territory (crude), population centre/rural area, highest level of education (household, respondent), household income adequacy, ethnicity, Indigenous (Aboriginal) status, immigrant status,  and trend (age-standardized)",Population aged 18+ years,"Statistics Canada derived variable PAADVREC was used to calculate this indicator for adults aged 18+ years. PAADVREC provides the total number of minutes, in the 7 days before the interview, that survey participants reported spending doing sports, fitness or recreational physical activities, that are organized or non-organized, that caused the participant to sweat at least a little and breathe harder.",,Y,,Y
Physical Activity,Individual,Adults (18+ years),Sports participation amount,Percentage (%) of population who reported regularly participating in any sports during the past 12 months,Sex,Total population,1697,1.8,,26.3,25.4,27.3,3,16.6,33.3,1,"aged 15+ years, by sex, Canada, 2010",Percentage (%),General Social Survey 2010,,,%,GSS (2010),% of population aged 15+ years who reported regularly participating in any sports during the past 12 months,Sport participation is a key source of physical activity for Canadians. This indicator measures the proportion of Canadians who report that they participate regularly in sports. The measure is assessed through self-report.,"General Social Survey (GSS), Statistics Canada","Sex, age group (5 year, life course), province, urban/non-urban, and highest level of education (respondent)",Population aged 15+ years,"Numerator: Number of Canadians 15+ years reporting that they regularly participated in sports in the past 12 months. Denominator: Total population, aged 15+ years.","For this indicator, the respondent must have been an athlete or participant in the sport at least once a week during the season or for a certain period of the season. The following activities were not considered ‘sport’: non-competitive aerobics, aquafit, bicycling for recreation/transportation only, body building, car racing, dancing, fishing, fitness classes, hiking, jogging, lifting weights (non-competitive), motorcycling, snowmobiling, and non-competitive walking.",Y,,
Physical Activity,Individual,Adults (18+ years),Sports participation amount,Percentage (%) of population who reported regularly participating in any sports during the past 12 months,Sex,Females,661,3.6,,16.7,15.5,17.9,3,16.6,33.3,,"aged 15+ years, by sex, Canada, 2010",Percentage (%),General Social Survey 2010,,,%,GSS (2010),% of population aged 15+ years who reported regularly participating in any sports during the past 12 months,Sport participation is a key source of physical activity for Canadians. This indicator measures the proportion of Canadians who report that they participate regularly in sports. The measure is assessed through self-report.,"General Social Survey (GSS), Statistics Canada","Sex, age group (5 year, life course), province, urban/non-urban, and highest level of education (respondent)",Population aged 15+ years,"Numerator: Number of Canadians 15+ years reporting that they regularly participated in sports in the past 12 months. Denominator: Total population, aged 15+ years.","For this indicator, the respondent must have been an athlete or participant in the sport at least once a week during the season or for a certain period of the season. The following activities were not considered ‘sport’: non-competitive aerobics, aquafit, bicycling for recreation/transportation only, body building, car racing, dancing, fishing, fitness classes, hiking, jogging, lifting weights (non-competitive), motorcycling, snowmobiling, and non-competitive walking.  ",Y,,
Physical Activity,Individual,Adults (18+ years),Sports participation amount,Percentage (%) of population who reported regularly participating in any sports during the past 12 months,Sex,Males,1036,2.0,,36.0,34.6,37.4,3,16.6,33.3,,"aged 15+ years, by sex, Canada, 2010",Percentage (%),General Social Survey 2010,,,%,GSS (2010),% of population aged 15+ years who reported regularly participating in any sports during the past 12 months,Sport participation is a key source of physical activity for Canadians. This indicator measures the proportion of Canadians who report that they participate regularly in sports. The measure is assessed through self-report.,"General Social Survey (GSS), Statistics Canada","Sex, age group (5 year, life course), province, urban/non-urban, and highest level of education (respondent)",Population aged 15+ years,"Numerator: Number of Canadians 15+ years reporting that they regularly participated in sports in the past 12 months. Denominator: Total population, aged 15+ years.","For this indicator, the respondent must have been an athlete or participant in the sport at least once a week during the season or for a certain period of the season. The following activities were not considered ‘sport’: non-competitive aerobics, aquafit, bicycling for recreation/transportation only, body building, car racing, dancing, fishing, fitness classes, hiking, jogging, lifting weights (non-competitive), motorcycling, snowmobiling, and non-competitive walking.  ",Y,,
Physical Activity,Individual,Adults (18+ years),Sports participation amount,Percentage (%) of population who reported regularly participating in any sports during the past 12 months,Age group — 5 year,Total population,1697,1.8,,26.3,25.4,27.3,3,16.6,33.3,1,"aged 15+ years, by age group (5 year), Canada, 2010",Percentage (%),General Social Survey 2010,,,%,GSS (2010),% of population aged 15+ years who reported regularly participating in any sports during the past 12 months,Sport participation is a key source of physical activity for Canadians. This indicator measures the proportion of Canadians who report that they participate regularly in sports. The measure is assessed through self-report.,"General Social Survey (GSS), Statistics Canada","Sex, age group (5 year, life course), province, urban/non-urban, and highest level of education (respondent)",Population aged 15+ years,"Numerator: Number of Canadians 15+ years reporting that they regularly participated in sports in the past 12 months. Denominator: Total population, aged 15+ years.","For this indicator, the respondent must have been an athlete or participant in the sport at least once a week during the season or for a certain period of the season. The following activities were not considered ‘sport’: non-competitive aerobics, aquafit, bicycling for recreation/transportation only, body building, car racing, dancing, fishing, fitness classes, hiking, jogging, lifting weights (non-competitive), motorcycling, snowmobiling, and non-competitive walking.  ",Y,,
Physical Activity,Individual,Adults (18+ years),Sports participation amount,Percentage (%) of population who reported regularly participating in any sports during the past 12 months,Age group — 5 year,15-17,163,3.9,,63.6,58.2,68.6,3,16.6,33.3,,"aged 15+ years, by age group (5 year), Canada, 2010",Percentage (%),General Social Survey 2010,,,%,GSS (2010),% of population aged 15+ years who reported regularly participating in any sports during the past 12 months,Sport participation is a key source of physical activity for Canadians. This indicator measures the proportion of Canadians who report that they participate regularly in sports. The measure is assessed through self-report.,"General Social Survey (GSS), Statistics Canada","Sex, age group (5 year, life course), province, urban/non-urban, and highest level of education (respondent)",Population aged 15+ years,"Numerator: Number of Canadians 15+ years reporting that they regularly participated in sports in the past 12 months. Denominator: Total population, aged 15+ years.","For this indicator, the respondent must have been an athlete or participant in the sport at least once a week during the season or for a certain period of the season. The following activities were not considered ‘sport’: non-competitive aerobics, aquafit, bicycling for recreation/transportation only, body building, car racing, dancing, fishing, fitness classes, hiking, jogging, lifting weights (non-competitive), motorcycling, snowmobiling, and non-competitive walking.  ",Y,,
Physical Activity,Individual,Adults (18+ years),Sports participation amount,Percentage (%) of population who reported regularly participating in any sports during the past 12 months,Age group — 5 year,18-24,168,4.3,,38.4,35.1,41.7,3,16.6,33.3,,"aged 15+ years, by age group (5 year), Canada, 2010",Percentage (%),General Social Survey 2010,,,%,GSS (2010),% of population aged 15+ years who reported regularly participating in any sports during the past 12 months,Sport participation is a key source of physical activity for Canadians. This indicator measures the proportion of Canadians who report that they participate regularly in sports. The measure is assessed through self-report.,"General Social Survey (GSS), Statistics Canada","Sex, age group (5 year, life course), province, urban/non-urban, and highest level of education (respondent)",Population aged 15+ years,"Numerator: Number of Canadians 15+ years reporting that they regularly participated in sports in the past 12 months. Denominator: Total population, aged 15+ years.","For this indicator, the respondent must have been an athlete or participant in the sport at least once a week during the season or for a certain period of the season. The following activities were not considered ‘sport’: non-competitive aerobics, aquafit, bicycling for recreation/transportation only, body building, car racing, dancing, fishing, fitness classes, hiking, jogging, lifting weights (non-competitive), motorcycling, snowmobiling, and non-competitive walking.  ",Y,,
Physical Activity,Individual,Adults (18+ years),Sports participation amount,Percentage (%) of population who reported regularly participating in any sports during the past 12 months,Age group — 5 year,25-29,119,5.3,,30.6,27.4,33.8,3,16.6,33.3,,"aged 15+ years, by age group (5 year), Canada, 2010",Percentage (%),General Social Survey 2010,,,%,GSS (2010),% of population aged 15+ years who reported regularly participating in any sports during the past 12 months,Sport participation is a key source of physical activity for Canadians. This indicator measures the proportion of Canadians who report that they participate regularly in sports. The measure is assessed through self-report.,"General Social Survey (GSS), Statistics Canada","Sex, age group (5 year, life course), province, urban/non-urban, and highest level of education (respondent)",Population aged 15+ years,"Numerator: Number of Canadians 15+ years reporting that they regularly participated in sports in the past 12 months. Denominator: Total population, aged 15+ years.","For this indicator, the respondent must have been an athlete or participant in the sport at least once a week during the season or for a certain period of the season. The following activities were not considered ‘sport’: non-competitive aerobics, aquafit, bicycling for recreation/transportation only, body building, car racing, dancing, fishing, fitness classes, hiking, jogging, lifting weights (non-competitive), motorcycling, snowmobiling, and non-competitive walking.  ",Y,,
Physical Activity,Individual,Adults (18+ years),Sports participation amount,Percentage (%) of population who reported regularly participating in any sports during the past 12 months,Age group — 5 year,30-34,146,5.3,,28.2,25.3,31.3,3,16.6,33.3,,"aged 15+ years, by age group (5 year), Canada, 2010",Percentage (%),General Social Survey 2010,,,%,GSS (2010),% of population aged 15+ years who reported regularly participating in any sports during the past 12 months,Sport participation is a key source of physical activity for Canadians. This indicator measures the proportion of Canadians who report that they participate regularly in sports. The measure is assessed through self-report.,"General Social Survey (GSS), Statistics Canada","Sex, age group (5 year, life course), province, urban/non-urban, and highest level of education (respondent)",Population aged 15+ years,"Numerator: Number of Canadians 15+ years reporting that they regularly participated in sports in the past 12 months. Denominator: Total population, aged 15+ years.","For this indicator, the respondent must have been an athlete or participant in the sport at least once a week during the season or for a certain period of the season. The following activities were not considered ‘sport’: non-competitive aerobics, aquafit, bicycling for recreation/transportation only, body building, car racing, dancing, fishing, fitness classes, hiking, jogging, lifting weights (non-competitive), motorcycling, snowmobiling, and non-competitive walking.  ",Y,,
Physical Activity,Individual,Adults (18+ years),Sports participation amount,Percentage (%) of population who reported regularly participating in any sports during the past 12 months,Age group — 5 year,35-39,163,5.3,,27.6,24.7,30.5,3,16.6,33.3,,"aged 15+ years, by age group (5 year), Canada, 2010",Percentage (%),General Social Survey 2010,,,%,GSS (2010),% of population aged 15+ years who reported regularly participating in any sports during the past 12 months,Sport participation is a key source of physical activity for Canadians. This indicator measures the proportion of Canadians who report that they participate regularly in sports. The measure is assessed through self-report.,"General Social Survey (GSS), Statistics Canada","Sex, age group (5 year, life course), province, urban/non-urban, and highest level of education (respondent)",Population aged 15+ years,"Numerator: Number of Canadians 15+ years reporting that they regularly participated in sports in the past 12 months. Denominator: Total population, aged 15+ years.","For this indicator, the respondent must have been an athlete or participant in the sport at least once a week during the season or for a certain period of the season. The following activities were not considered ‘sport’: non-competitive aerobics, aquafit, bicycling for recreation/transportation only, body building, car racing, dancing, fishing, fitness classes, hiking, jogging, lifting weights (non-competitive), motorcycling, snowmobiling, and non-competitive walking.  ",Y,,
Physical Activity,Individual,Adults (18+ years),Sports participation amount,Percentage (%) of population who reported regularly participating in any sports during the past 12 months,Age group — 5 year,40-44,150,6.7,,25.1,21.7,28.5,3,16.6,33.3,,"aged 15+ years, by age group (5 year), Canada, 2010",Percentage (%),General Social Survey 2010,,,%,GSS (2010),% of population aged 15+ years who reported regularly participating in any sports during the past 12 months,Sport participation is a key source of physical activity for Canadians. This indicator measures the proportion of Canadians who report that they participate regularly in sports. The measure is assessed through self-report.,"General Social Survey (GSS), Statistics Canada","Sex, age group (5 year, life course), province, urban/non-urban, and highest level of education (respondent)",Population aged 15+ years,"Numerator: Number of Canadians 15+ years reporting that they regularly participated in sports in the past 12 months. Denominator: Total population, aged 15+ years.","For this indicator, the respondent must have been an athlete or participant in the sport at least once a week during the season or for a certain period of the season. The following activities were not considered ‘sport’: non-competitive aerobics, aquafit, bicycling for recreation/transportation only, body building, car racing, dancing, fishing, fitness classes, hiking, jogging, lifting weights (non-competitive), motorcycling, snowmobiling, and non-competitive walking.  ",Y,,
Physical Activity,Individual,Adults (18+ years),Sports participation amount,Percentage (%) of population who reported regularly participating in any sports during the past 12 months,Age group — 5 year,45-49,143,6.7,,22.7,19.7,25.7,3,16.6,33.3,,"aged 15+ years, by age group (5 year), Canada, 2010",Percentage (%),General Social Survey 2010,,,%,GSS (2010),% of population aged 15+ years who reported regularly participating in any sports during the past 12 months,Sport participation is a key source of physical activity for Canadians. This indicator measures the proportion of Canadians who report that they participate regularly in sports. The measure is assessed through self-report.,"General Social Survey (GSS), Statistics Canada","Sex, age group (5 year, life course), province, urban/non-urban, and highest level of education (respondent)",Population aged 15+ years,"Numerator: Number of Canadians 15+ years reporting that they regularly participated in sports in the past 12 months. Denominator: Total population, aged 15+ years.","For this indicator, the respondent must have been an athlete or participant in the sport at least once a week during the season or for a certain period of the season. The following activities were not considered ‘sport’: non-competitive aerobics, aquafit, bicycling for recreation/transportation only, body building, car racing, dancing, fishing, fitness classes, hiking, jogging, lifting weights (non-competitive), motorcycling, snowmobiling, and non-competitive walking.  ",Y,,
Physical Activity,Individual,Adults (18+ years),Sports participation amount,Percentage (%) of population who reported regularly participating in any sports during the past 12 months,Age group — 5 year,50-54,133,7.0,,20.5,17.6,23.4,3,16.6,33.3,,"aged 15+ years, by age group (5 year), Canada, 2010",Percentage (%),General Social Survey 2010,,,%,GSS (2010),% of population aged 15+ years who reported regularly participating in any sports during the past 12 months,Sport participation is a key source of physical activity for Canadians. This indicator measures the proportion of Canadians who report that they participate regularly in sports. The measure is assessed through self-report.,"General Social Survey (GSS), Statistics Canada","Sex, age group (5 year, life course), province, urban/non-urban, and highest level of education (respondent)",Population aged 15+ years,"Numerator: Number of Canadians 15+ years reporting that they regularly participated in sports in the past 12 months. Denominator: Total population, aged 15+ years.","For this indicator, the respondent must have been an athlete or participant in the sport at least once a week during the season or for a certain period of the season. The following activities were not considered ‘sport’: non-competitive aerobics, aquafit, bicycling for recreation/transportation only, body building, car racing, dancing, fishing, fitness classes, hiking, jogging, lifting weights (non-competitive), motorcycling, snowmobiling, and non-competitive walking.  ",Y,,
Physical Activity,Individual,Adults (18+ years),Sports participation amount,Percentage (%) of population who reported regularly participating in any sports during the past 12 months,Age group — 5 year,55-59,139,7.3,,20.5,17.5,23.5,3,16.6,33.3,,"aged 15+ years, by age group (5 year), Canada, 2010",Percentage (%),General Social Survey 2010,,,%,GSS (2010),% of population aged 15+ years who reported regularly participating in any sports during the past 12 months,Sport participation is a key source of physical activity for Canadians. This indicator measures the proportion of Canadians who report that they participate regularly in sports. The measure is assessed through self-report.,"General Social Survey (GSS), Statistics Canada","Sex, age group (5 year, life course), province, urban/non-urban, and highest level of education (respondent)",Population aged 15+ years,"Numerator: Number of Canadians 15+ years reporting that they regularly participated in sports in the past 12 months. Denominator: Total population, aged 15+ years.","For this indicator, the respondent must have been an athlete or participant in the sport at least once a week during the season or for a certain period of the season. The following activities were not considered ‘sport’: non-competitive aerobics, aquafit, bicycling for recreation/transportation only, body building, car racing, dancing, fishing, fitness classes, hiking, jogging, lifting weights (non-competitive), motorcycling, snowmobiling, and non-competitive walking.  ",Y,,
Physical Activity,Individual,Adults (18+ years),Sports participation amount,Percentage (%) of population who reported regularly participating in any sports during the past 12 months,Age group — 5 year,60-64,128,8.3,,18.2,15.2,21.2,3,16.6,33.3,,"aged 15+ years, by age group (5 year), Canada, 2010",Percentage (%),General Social Survey 2010,,,%,GSS (2010),% of population aged 15+ years who reported regularly participating in any sports during the past 12 months,Sport participation is a key source of physical activity for Canadians. This indicator measures the proportion of Canadians who report that they participate regularly in sports. The measure is assessed through self-report.,"General Social Survey (GSS), Statistics Canada","Sex, age group (5 year, life course), province, urban/non-urban, and highest level of education (respondent)",Population aged 15+ years,"Numerator: Number of Canadians 15+ years reporting that they regularly participated in sports in the past 12 months. Denominator: Total population, aged 15+ years.","For this indicator, the respondent must have been an athlete or participant in the sport at least once a week during the season or for a certain period of the season. The following activities were not considered ‘sport’: non-competitive aerobics, aquafit, bicycling for recreation/transportation only, body building, car racing, dancing, fishing, fitness classes, hiking, jogging, lifting weights (non-competitive), motorcycling, snowmobiling, and non-competitive walking.  ",Y,,
